joke,category
"Melon et Melèche prennent une maison. Melon l’achète…


Et Melèche l’habite
",papa
"Est-ce qu’une poule peut parler anglais ?


Yes chicken !",papa
"Qu’est-ce qu’une duche ?


C’est une douche sans O",papa
"Comment on dit « lingerie coquine » en anglais ? 

Hot Couture.",papa
"

Dans un restaurant, un client dit : « Garçon, que fait cette mouche dans ma soupe ? »


Je pense que c’est de la brasse… mais je peux me tromper…",papa
"Je suis inquiet, je vois des points noirs.


– Tu a vu l’oculiste ?
– Non, des points noirs !",papa
"Au jour de l’an, 2 geeks discutent : -« Qu’est-ce que t’as pris comme résolution cette année ? 

– « 1024 x 768 »",papa
"C’est au moment où tu vois un moustique se poser sur tes testicules que tu te rends compte qu’il y a moyen de régler certains problèmes autrement que par la violence.

Lao-Tseu",papa
"Comment appelle-t-on des rats qui marchent en file indienne ? 

Une rallonge…",papa
"Qu’est ce qu’un chat bossu ?

  Un chameau",papa
"Les ciseaux à bois, 

les chiens aussi.",papa
"Que dit un oignon quand il se cogne ?


Ail",papa
"Hier j’ai vu une mouche écrasée sur un mur. 

Elle devait voler super vite.",papa
"Que dit le juge au manchot ?

« Allez allez, témoignons »",papa
"Quelle sorte de melon donne du lait ? 

Le mamelon",papa
"Quels sont les animaux qu’on retrouve en grand nombre dans la montagne ? 

Les chats laids",papa
"Un jour, Dieu demanda au coca de coller…


et le Coca Cola…",papa
"Pourquoi le patinage artistique est pénible ?


Car le patin agace",papa
"Que s’est-il passé en 1111 ?


L’invasion des huns.",papa
"Quelle est la différence entre tintin et milou ?


Milou n’a pas de chien …",papa
"« Chéri, je me sens grosse et laide…S’il te plait, fais-moi un compliment… « 


Tu as une bonne vue !",papa
"Que disent les maitres nageurs à nouvel an ? 


Bonne apnée !",papa
"Amusez-vous avec le le jeu Jokes de papa


au meilleur prix garanti !",papa
"Est-ce que les poissons aiment les blagues de papa ?

Ils s’en fichent !",papa
"C’est l’histoire d’une girafe qui va dans un bar,

 pour boire un coup",papa
"Quel est le fromage préféré de Brigitte Macron ?


Le Président",papa
"Si deux sourds se battent, 

ca doit être sûrement un malentendu.",papa
"Dans un restaurant, un client dit :

– Garçon, que fait cette mouche dans ma soupe ?
– Je pense que c’est de la brasse… mais je peux me tromper…",papa
"Où va le chien de traîneau pour ses vacances ? 

Il va husky",papa
"Pourquoi n’ y a t-il plus de mammouth ?


Parce qu’il n’y a plus de papmouth",papa
"Plus y a de gruyère, plus y a de trous.
Et plus y a de trous, moins y a de gruyère.
Donc plus y a de gruyère, moins y a de gruyère.",math
"Les amis de mes amis sont mes amis,
Les amis de mes ennemis sont mes ennemis,
Les ennemis de mes amis sont mes ennemis,
Les ennemis de mes ennemis sont mes amis.

*Une illustration appropriées de la règle des signes !*",math
"L'arithmétique, c'est être capable de compter jusqu'à vingt sans enlever ses chaussures.

*Walt Disney*",math
"A la question "" Combien font 2 + 3 ? "" l'élève français répond 3 + 2 car l'addition est commutative.
Il ne sais pas ce que vaut l'addition et ne comprend pas le sens de la question.

*Vladimir Arnol'd*",math
"Il n'y a pas de problème
Il n'y a que des professeurs.

*Jacques Prévert*",math
"Chaque fois que je vois le nombre 1, j'ai envie de l'aider à s'échapper... Il a constamment à ses trousses, derrière, le zéro qui veut le rattraper et devant, toute la mafia des grands nombres qui le guettent.

*Romain Gary*",math
"Les maths, c'est comme l'amour. Une idée simple mais qui peut parfois se compliquer.

*Robert Drabek*",math
"A l'école, en algèbre, j'étais du genre Einstein. Mais plutôt Franck qu'Albert.

*Philippe Geluck*",math
"- Quelle est votre principale qualité ?
- Je suis très rapide en calcul mental.
- 23 x 547 ?
- 56
- Mais c'est faux !
- Oui mais c'est rapide !",math
"Il y a trois sortes de mathématiciens : ceux qui savent compter et ceux qui ne savent pas.

*Benjamin Doreca*",math
"En essayant continuellement, on finit par réussir. Donc plus ça rate, plus on a de chances que ça marche.

*Les Shadocks*",math
"Deux choses sont infinies : l’univers et la bêtise humaine ; mais en ce qui concerne l’univers, je n’en ai pas encore acquis la certitude absolue.

*Albert Einstein*",math
"’abscisse est la cruelle Maîtresse de l'ordonnée. À Peine se sont-elles croisées qu'elles enfantent, baptisent et domicilient un petit point dont il faut reconnaître - à regret - qu'elles ne prennent aucun soin. L’abscisse en effet n'a de cesse que de rencontrer une nouvelle ordonnée (plus jeune, plus belle), à laquelle elle fera illico un nouveau petit point unique, qu'elle abandonnera comme le précédent, le vouant le plus souvent à la solitude paranoïaque des corps totalement ordonnés.

*Marie Desplechin*",math
"Pascal combattait ses maux de tête avec des problèmes de géométrie ... Moi, je combattais la géométrie en feignant d'avoir des maux de tête ...

*Tristan Bernard*",math
"A propos de l'intelligence artificielle :
Des algorithmes malins qui permettent à des machines crétines de résoudre des taches complexes.

*Cédric Villani*",math
