quote,author,source
“Have you ever noticed how ‘What the hell’ is always the right decision to make?”,Terry Johnson,Insignificance
“There ain't no such thing as a free lunch.”,Pierre Dos Utt,Tanstaafl: A Plan for a New Economic World Order
“The pianokeys are black and white,Maria Cristina Mena,The Collected Stories of Maria Cristina Mena
“Inevitably it follows that anyone with an independent mind must become 'one who resists or opposes an authority or established convention': a,Nicholas Tharcher,Rebels and Devils: The Psychology of Liberation (Revised)
"“When you choose one way out of many, all the ways you don't take are snuffed out like candles, as if they'd never existed.”",Philip Pullman,The Amber Spyglass
“The essence of independence has been to think and act according to standards from,Nicholas Tharcher,Rebels and Devils: The Psychology of Liberation (Revised)
"“The moment you stop trying to become a better person, is the moment you start to become worse than what you already are.”",Carroll Bryant,
"“If you can't fight and you can't flee, flow.”",Robert Elias M.D.,
"“Maybe sometimes we don't do the right thing because the wrong thing looks more dangerous, and we don't want to look scared, so we go and do the wrong thing just because it's dangerous. We're more concerned with not looking scared than with judging right.”",Philip Pullman,The Amber Spyglass
"“Beloved, let us love one another, because love is from God; everyone one who loves is born of God and knows God. Whoever does not love does not know God, for God is love.”",Anonymous,The New Testament
“The only thing standing between you and your dreams is ... reluctance.”,Carroll Bryant,
“Things are not always what they seem; the first appearance deceives many; the intelligence of a few perceives what has been carefully hidden.”,Phaedrus,
“Time is what keeps things from happening all at once.”,Ann Brashares,The Sisterhood of the Traveling Pants
"“Thoughts become things. If you see it in your mind, you will hold it in your hand.”",Bob Proctor,You Were Born Rich
"“I believe that the universe was formed around 15 billion years ago and that humans have evolved from their apelike ancestors over the past few million years. I believe we are more likely to live a good life if all humans try to work together in a world community, preserving planet earth. When decisions for groups are made in this world, I believe that the democratic process should be used. To protect the individual, I believe in freedom of speech, freedom of the press, freedom of religion, freedom from religion, freedom of inquiry, and a wall of separation between church and state. When making decisions about what is right or wrong, I believe I should use my intelligence to reason about the likely consequences of my actions. I believe that I should try to increase the happiness of everyone by caring for other people and finding ways to cooperate. Never should my actions discriminate against people simply because of their race, religion, sex, sexual orientation, age, or national origin. I believe that ideas about what is right and wrong will change with education, so I am prepared to continually question ideas using evidence from experience and science. I believe there is no valid evidence to support claims for the existence of supernatural entities and deities. I will use these beliefs to guide my thinking and my actions until I find good reasons for revising them or replacing them with other beliefs that are more valid.”",Ronald P. Carver,
"“People should decide on the books' meanings for themselves. They'll find a story that attacks such things as cruelty, oppression, intolerance, unkindness, narrow-mindedness, and celebrates love, kindness, open-mindedness, tolerance, curiosity, human intelligence.”",Philip Pullman,His Dark Materials Trilogy: The Golden Compass/The Subtle Knife/The Amber Spyglass
